question,answer
"What is Cairo-fuzzer?","Cairo-fuzzer is a tool designed for smart contract developers to assess security."
"Can Cairo-fuzzer operate independently?","Yes, Cairo-fuzzer can operate both independently and as a library."
"What types of contracts can Cairo-fuzzer execute?","Cairo-fuzzer can execute Cairo contracts and Starknet contracts."
"Does Cairo-fuzzer have the ability to replay fuzzing corpus?","Yes, Cairo-fuzzer can replay fuzzing corpus."
"Can Cairo-fuzzer minimize fuzzing corpus?","Yes, it can minimize fuzzing corpus."
"Is loading a previous corpus possible with Cairo-fuzzer?","Yes, Cairo-fuzzer can load a previous corpus."
"What is Cairo-fuzzer?","Cairo-fuzzer is a tool designed for smart contract developers to assess security."
"Can Cairo-fuzzer operate independently?","Yes, it can operate both independently and as a library."
"What type of contracts can Cairo-fuzzer execute?","It can execute Cairo contracts and Starknet contracts."
"What is the function of the 'replay fuzzing corpus' feature in Cairo-fuzzer?","It allows for the replaying of a fuzzing corpus."
"Can Cairo-fuzzer minimize fuzzing corpus?","Yes, it has a feature to minimize fuzzing corpus."
"What does 'Load previous corpus' mean in Cairo-fuzzer?","It means Cairo-fuzzer can load a corpus that was used in previous sessions."
"What is the purpose of managing multiple arguments in Cairo-fuzzer?","It helps in handling different input arguments for fuzzing."
"How does Cairo-fuzzer utilize workspace architecture?","Cairo-fuzzer uses workspace architecture to organize and manage fuzzing activities."
"Can Cairo-fuzzer import dictionaries?","Yes, it has the capability to import dictionaries."
"How can Cairo-fuzzer be integrated as a library?","Cairo-fuzzer can be integrated into other projects as a library for fuzzing functionalities."
"What is the basic usage command for Cairo-fuzzer?","To use Cairo-fuzzer, run 'cargo run --release -- --cores 3 --contract tests/fuzzinglabs.json --function 'Fuzz_symbolic_execution''."
"What is the default number of threads Cairo-fuzzer runs?","By default, Cairo-fuzzer runs with 1 thread."
"How do you set the path of the JSON artifact in Cairo-fuzzer?","Use '--contract <CONTRACT>' to set the path."
"What is the default function to fuzz in Cairo-fuzzer?","The default function to fuzz is not set; it's specified by the user."
"What is the default workspace of Cairo-fuzzer?","The default workspace is 'fuzzer_workspace'."
"How can you specify the input folder in Cairo-fuzzer?","Use '--inputfolder <INPUTFOLDER>' to specify the input folder."
"What is the command to enable fuzzer logs in Cairo-fuzzer?","Use '--logs' to enable fuzzer logs in a file."
"How do you set a custom seed in Cairo-fuzzer?","Use '--seed <SEED>' to set a custom seed."
"What does '--run-time <RUN_TIME>' do in Cairo-fuzzer?","It sets the number of seconds the fuzzing session will last."
"How is a config file loaded in Cairo-fuzzer?","Use '--config <CONFIG>' to load a config file."
"What does the '--replay' option do in Cairo-fuzzer?","It replays the corpus folder."
"What is the purpose of the '--minimizer' option in Cairo-fuzzer?","It minimizes Corpora."
"How do you access help information in Cairo-fuzzer?","Use '-h' or '--help' to print help information."
"Can Cairo-fuzzer manage crash folders?","Yes, with '--crashfolder <CRASHFOLDER>'."
