question,answer
"What are the rules that apply to ownership ?","
* Each value in Cairo has an owner.
* There can only be one owner at a time.
* When the owner goes out of scope, the value will be dropped.
"
"what will this code produce ?

fn foo(arr: Array<u128>) {}

fn bar(arr: Array<u128>) {}

fn main() {
    let mut arr = ArrayTrait::<u128>::new();
    foo(arr);
    bar(arr);
}
","we try to pass the same array instance arr by value to the functions foo and bar, which means that the parameter used in both function calls is the same instance of the array. If you append a value to the array in foo, and then try to append another value to the same array in bar, what would happen is that you would attempt to try to write to the same memory cell twice, which is not allowed in Cairo. To prevent this, the ownership of the arr variable moves from the main function to the foo function. When trying to call bar with arr as a parameter, the ownership of arr was already moved to the first call. The ownership system thus prevents us from using the same instance of arr in foo.

Running the code above will result in a compile-time error:


error: Variable was previously moved. Trait has no implementation in context: core::traits::Copy::<core::array::Array::<core::integer::u128>>
 --> array.cairo:6:9
    let mut arr = ArrayTrait::<u128>::new();
        ^*****^
"
"How can I avoid moving the ownership of a value to move to a function called with the value as parameter ?","
Use the copy trait on your data structure:
```
#[derive(Copy, Drop)]   // copy trait
struct Point {
    x: u128,
    y: u128,
}

fn main() {
    let p1 = Point { x: 5, y: 10 };
    foo(p1); // ownership not moved
    foo(p1); // ownership not moved
}

fn foo(p: Point) { // do something with p
}
```
"
"what does the Drop trait do ?","When a value of a type that implements the Drop trait goes out of scope, the Drop implementation is called on the type, which moves the value to the drop function, allowing it to go out of scope - This is what we call 'dropping' a value. It is important to note that the implementation of drop is a 'no-op', meaning that it doesn't perform any actions other than allowing the value to go out of scope."
"How do I add the drop trait to my structure","
```
    #[derive(Drop)]
    struct my_struct{
    }
```
 "
"implement the Drop trait on my struct Point:
struct Point {
    x: u128,
    y: u128,
}","
```
#[derive(Drop)]   // Drop trait
struct Point {
    x: u128,
    y: u128,
}
```
"
"implement ownership on my struct Point:
struct Point {
    x: u128,
    y: u128,
}","
```
#[derive(Copy, Drop)]   // implements Copy and Drop trait on Point
struct Point {
    x: u128,
    y: u128,
}
```
"
"Why is this code not working:

struct A {}

fn main() {
    A {}; // error: Value not dropped.
}
","
- The code will not compile, because the struct A is not moved before it goes out of scope:
- In Cairo, a value cannot go out of scope unless it has been previously moved. 
This is to ensure the soundness of Cairo programs. Soundness refers to the fact that if a statement during the execution of the program is false, no cheating prover can convince an honest verifier that it is true. In our case, we want to ensure the consistency of consecutive dictionary key updates during program execution, which is only checked when the dictionaries are squashed - which moves the ownership of the dictionary to the squash method, thus allowing the dictionary to go out of scope. Unsquashed dictionaries are dangerous, as a malicious prover could prove the correctness of inconsistent updates.

However, types that implement the Drop trait are allowed to go out of scope without being explicitly moved. When a value of a type that implements the Drop trait goes out of scope, the Drop implementation is called on the type, which moves the value to the drop function, allowing it to go out of scope - This is what we call 'dropping' a value. It is important to note that the implementation of drop is a 'no-op', meaning that it doesn't perform any actions other than allowing the value to go out of scope.
"
"Can I add #[derive(Drop)] to any value ?","
The Drop implementation can be derived for all types, allowing them to be dropped when going out of scope, except for dictionaries (Felt252Dict) and types containing dictionaries
"
"is the value of a variable that goes out of scope is dropped ?","
Yes.

When a variable goes out of scope, its value is dropped, unless ownership of the value has been moved to another variable
"
