question,answer
"What is Sierra in the context of programming languages?","Sierra is an intermediate layer between the high-level language Cairo and compilation targets such as Cairo Assembly (CASM)."
"What is the primary design goal of Sierra?","Sierra is designed to ensure safety and prevent runtime errors."
"How does Sierra guarantee that every function returns?","Sierra uses a compiler that can detect operations that could fail at compile time."
"What type of loops are prevented in Sierra to ensure safety?","Infinite loops are prevented in Sierra to ensure safety."
"What is the benefit of Sierra's type system?","It allows for efficient compilation down to CASM while ensuring safety."
"How was the Cairo 0 flow used by developers?","In Cairo 0,developers would write Starknet contracts in Cairo,compile them to CASM,and deploy the compilation output directly on Starknet."
"How do users interact with Starknet contracts?","Users interact with Starknet contracts by calling smart contract functions,signing a transaction,and sending it to the sequencer."
"What is the role of the sequencer in the Cairo 0 transaction flow?","The sequencer runs the transaction to get the user’s transaction fee."
"What does SHARP do in the context of Starknet?","SHARP generates the proof for the batch including the user’s transaction."
"What issue arises with proving failed transactions in Cairo 0?","Failed transactions cannot get proven in Cairo 0,as it's impossible to prove an invalid statement."
"What happens if transaction execution fails in Cairo 0?","If transaction execution fails,the transaction is not included in a block,and the sequencer does free work."
"How can the sequencer be vulnerable in the Cairo 0 flow?","The sequencer can be subjected to DDoS attacks with invalid transactions."
"Why is it difficult to distinguish between censorship and invalid transactions in Cairo 0?","It's difficult because both types of transactions will not be included in blocks."
"How does Ethereum handle failed transactions differently from Cairo 0?","On Ethereum,failed transactions are marked as reverted but are still included in blocks."
"What two goals does Starknet need to achieve to solve the issues in Cairo 0?","Starknet needs to achieve completeness and soundness."
"What does completeness ensure in the context of Starknet?","Completeness ensures that transaction execution can always be proven,even when it fails."
"What does soundness ensure in Starknet?","Soundness ensures that valid transactions are not rejected,preventing censorship."
"How is Sierra 'correct-by-construction'?","Sierra allows errors to be propagated back to the original entry point,returning a boolean value for transaction success or failure."
"How does Cairo 1’s syntax compare to other languages?","Cairo 1 offers a syntax similar to Rust."
"What does Cairo 1 abstract from Sierra?","Cairo 1 abstracts the safety constructs of Sierra."
"What is the benefit of Cairo 1 compiling to Sierra?","It ensures that no Sierra code can ever fail and compiles down to a safe subset of CASM."
"What does 'correct by construction' mean in the context of Sierra?","It means that the language is designed in a way that it cannot fail."
"What are some unsafe operations identified in Cairo 0?","Unsafe operations include illegal memory address references,assertions that can fail,multiple writes to the same memory address,and infinite loops."
"How does Sierra improve the deployment process on Starknet?","Developers compile their Cairo 1 code to Sierra and deploy Sierra programs,ensuring no failing code on Starknet."
"What is the new responsibility of sequencers in the updated flow?","Sequencers are responsible for compiling Sierra code to CASM on a declare-transaction."
"What challenge does Sierra aim to address in the context of smart contracts?","Sierra aims to prevent runtime errors and ensure safety in smart contract development."
"What is the role of CASM in the Sierra framework?","CASM is the compilation target for Sierra,used for deploying programs on Starknet."
"How does Sierra ensure that no infinite loops occur?","Sierra’s compiler detects and prevents operations that could result in infinite loops."
"Why is it important for Sierra to have a powerful type system?","A powerful type system in Sierra helps express mid-level code while maintaining safety and efficient compilation."
