question,answer
What is the difference between Starknet-React and Starknet.js?,"starknet-react (documentation): Developed by the Apibara team, Starknet React is an open-source suite of React providers and hooks specifically for Starknet, and inspired by wagmi and powered by starknet.js.

starknet.js: This JavaScript library facilitates interactions with Starknet contracts, akin to web3.js for Ethereum."
How to intergrate Starknet-React?,"The fastest way to get started using Starknet React is by using the create-starknet Command Line Interface (CLI). The tool will guide you through setting up your Starknet application:

npm init starknet

Or, if you want to do it manually you will need to add the following dependencies to your project:

npm install @starknet-react/chains @starknet-react/core starknet get-starknet-core

Starknet.js is an SDK designed to simplify interactions with Starknet. Conversely, get-starknet specializes in wallet connection management.

Wrap your app in the StarknetConfig component to configure and provide a React Context. This component lets you specify wallet connection options for users through its connectors prop.
///
export default function App({ children }) {
  const chains = [goerli, mainnet];
  const provider = publicProvider();
  const { connectors } = useInjectedConnectors({
    // Show these connectors if the user has no connector installed.
    recommended: [argent(), braavos()],
    // Hide recommended connectors if the user has any connector installed.
    includeRecommended: 'onlyIfNoConnectors',
    // Randomize the order of the connectors.
    order: 'random',
  });

  return (
    <StarknetConfig chains={chains} provider={provider} connectors={connectors}>
      {children}
    </StarknetConfig>
  );
}"
How to use Starknet-React to manage account?,"After defining the connectors in the 'config', you can use a hook to access them. This enables users to connect their wallets.
///
export default function Component() {
  const { connect, connectors } = useConnect();
  return (
    <ul>
      {connectors.map((connector) => (
        <li key={connector.id}>
          <button onClick={() => connect({ connector })}>
            {connector.name}
          </button>
        </li>
      ))}
    </ul>
  );
}
///
Now, observe the 'disconnect' function that terminates the connection when invoked:
///
const { disconnect } = useDisconnect();
return <button onClick={() => disconnect()}>Disconnect</button>;
///
Once connected, the 'useAccount' hook provides access to the connected account, giving insights into the connection's current state.
///
const { address, isConnected, isReconnecting, account } = useAccount();

return <div>{isConnected ? <p>Hello, {address}</p> : <Connect />}</div>;
///
State values like 'isConnected' and 'isReconnecting' update automatically, easing UI updates. This is particularly useful for asynchronous processes, removing the need for manual state management in your components.

Once connected, signing messages is easy with the account value from the 'useAccount' hook. For a smoother experience, you can also use the 'useSignTypedData' hook.
///
    const { data, isPending, signTypedData } = useSignTypedData(exampleData);

    return (
      <button
        onClick={() => signTypedData(exampleData)}
        disabled={!account}
      >
        {isPending ? <p>Waiting for wallet...</p> : <p>Sign Message</p>}
      </button>
    );
///
Starknet React supports signing an array of 'BigNumberish' values or an object. When signing an object, ensure the data adheres to the EIP712 type."
How to use Starknet-React to display my Starkname?,"Once an account is connected, the 'useStarkName' hook retrieves the 'StarkName' of the account. And it allows for displaying the user address in a user-friendly manner.
///
    const { data, isLoading, isError } = useStarkName({ address });

    if (isLoading)
        return <span>Loading...</span>;
    if (isError)
        return <span>Error fetching name...</span>;

    return <span>StarkName: {data}</span>;
///
This hook provides additional information: error, status, fetchStatus, isSuccess, isError, isPending, isFetching, isLoading. These details offer precise insights into the current process."
How to use Starknet-React to fetch address from Starkname?,"To retrieve an address from a 'StarkName', use the 'useAddressFromStarkName' hook.
///
    const { data, isLoading, isError } = useAddressFromStarkName({
      name: 'vitalik.stark',
    });

    if (isLoading)
        return <span>Loading...</span>;
    if (isError)
        return <span>Error fetching address...</span>;

    return <span>address: {data}</span>;
///
If the provided name does not have an associated address, it will return '0x0'."
How to use Starknet-React to navagate the Network?,"Starknet React provides developers with tools for network interactions, including hooks like useBlock for retrieving the latest block:
///
        const { data, isLoading, isError } = useBlock({
        refetchInterval: 10_000,
        blockIdentifier: 'latest' as BlockNumber,
        });

        if (isLoading)
            return <span>Loading...</span>;
        if (isError || !data)
            return <span>Error...</span>;
///
        return <span>Hash: {data.block_hash}</span>;

Here, 'refetchInterval' sets the data refresh rate. Starknet React uses react-query for state and query management. Other hooks like 'useContractRead' and 'useWaitForTransaction' are also available for interval-based updates.

The useStarknet hook gives direct access to the ProviderInterface:
///
    const { provider } = useProvider()

    // library.getClassByHash(...)
    // library.getTransaction(...)
///"
How to use Starknet-React to track wallet changes?,"For a better dApp user experience, tracking wallet changes is crucial. This includes account changes, connections, disconnections, and network switches. Reload balances on account changes, or reset your dApp's state on network changes. Use 'useAccount' and 'useNetwork' for this.

'useNetwork' provides the current network chain:
///
    const { chain: { id, name } } = useNetwork();

    return (
        <>
            <p>Connected chain: {name}</p>
            <p>Connected chain id: {id}</p>
        </>
    )
///
This hook also offers blockExplorer, testnet for detailed network information.

Monitor user interactions with account and network using the useEffect hook:
///
    const { chain } = useNetwork();
    const { address } = useAccount();

    useEffect(() => {
        if(address) {
            // Do some work when the user changes the account on the wallet
            // Like reloading the balances
        }else{
            // Do some work when the user disconnects the wallet
            // Like reseting the state of your dApp
        }
    }, [address]);

    useEffect(() => {
        // Do some work when the user changes the network on the wallet
        // Like reseting the state of your dApp
    }, [chain]);
///"
How to use Starknet-React to interact with contract?,"1. Read Functions

Starknet React introduces 'useContractRead', similar to wagmi, for read operations on contracts. These operations are independent of the user's connection status and don't require a signer.
///
    const { data, isError, isLoading, error } = useContractRead({
        functionName: 'balanceOf',
        args: [address as string],
        abi,
        address: testAddress,
        watch: true,
    });

    if (isLoading)
        return <div>Loading ...</div>;
    if (isError || !data)
        return <div>{error?.message}</div>;

    return <div>{parseFloat(data.balance.low)}n</div>;
///
For ERC20 operations, the useBalance hook simplifies retrieving balances without needing an ABI.
///
const { isLoading, isError, error, data } = useBalance({
  address,
  watch: true,
});

if (isLoading) return <div>Loading ...</div>;
if (isError || !data) return <div>{error?.message}</div>;

return (
  <div>
    {data.value.toString()}
    {data.symbol}
  </div>
);
///

2. Write Functions

The 'useContractWrite' hook, unlike wagmi, benefits from Starknet's native support for multicall transactions. This improves user experience by facilitating multiple transactions without individual approvals.
///
    const calls = useMemo(() => {
      if (!address || !contract) return [];
      // return a single object for single transaction,
      // or an array of objects for multicall**
      return contract.populateTransaction['transfer']!(address, { low: 1, high: 0 });
    }, [contract, address]);

    const {
      writeAsync,
      data,
      isPending,
    } = useContractWrite({
      calls,
    });

    return (
      <>
        <button onClick={() => writeAsync()}>Transfer</button>
        <p>status: {isPending && <div>Submitting...</div>}</p>
        <p>hash: {data?.transaction_hash}</p>
      </>
    );
///
This setup starts with the 'populateTransaction' utility, followed by executing the transaction through 'writeAsync'. The hook also provides transaction status and hash.

3.A Single Contract Instance

For cases where a single contract instance is more than apecifying the contract address and ABI in each hook., use the 'useContract' hook:
///
const { contract } = useContract({
  address: CONTRACT_ADDRESS,
  abi: abi_erc20,
});

// Call functions directly on contract
// contract.transfer(...);
// contract.balanceOf(...);
///"
How to use Starknet-React to track transactions?,"UseWaitForTransaction' function tracks transaction states with a transaction hash, reducing network requests through caching.
///
const { isLoading, isError, error, data } = useWaitForTransaction({
  hash: transaction,
  watch: true,
});

if (isLoading) return <div>Loading ...</div>;
if (isError || !data) return <div>{error?.message}</div>;

return <div>{data.status?.length}</div>;
///
Explore all available hooks in Starknet React's documentation: https://starknet-react.com/hooks/."
How to use Starknet-React to put smart contract to web application?,"Here are some steps to build an ERC20 smart contract using Cairo and to incorporate it within a React web application with Starknet React. You can:

1.Understand how to implement the ERC20 interface
2.Learn how to deploy contracts on the Starknet network
3.Discover ways to engage with contracts within a React application
4.Design their own ERC20 token and initiate it on Starknet

A prerequisite for this guide is a foundational understanding of both the Cairo programming language and ReactJS. Additionally, ensure Node.js and NPM are installed on the system.

The example will walk through creating an ERC20 token named MKT and crafting a web3 interface for functionalities such as balance verification and token transfer.

Throughout this guide, the following tools and libraries will be utilized:

Scarb 0.7.0 with Cairo 2.2.0
Starkli 0.1.9
Oppenzeppelin libraries v0.7.0
Starknet React v2.1.1
NodeJS v19.6.1
Next.js 13.1.6
Visual Studio Code
Vercel

1. Initiating a New Starknet Project

Begin by establishing a new Starknet project named 'erc20' using Scarb:

mkdir erc20
cd erc20
scarb init --name erc20

Subsequently, update the Scarb.toml to include the essential OpenZeppelin libraries. Post edits, the Scarb.toml should appear as:
///
[package]
name = 'erc20'
version = '0.1.0'

# For more keys and definitions, visit https://docs.swmansion.com/scarb/docs/reference/manifest.html

[dependencies]
starknet = '>=2.2.0'
openzeppelin = { git = 'https://github.com/OpenZeppelin/cairo-contracts.git', tag = 'v0.8.0-beta.0' }

[[target.starknet-contract]]
///

2. Implementing the ERC20 Token

Begin by creating a new file named 'src/erc20.cairo'. In this file, the ERC20 token named MKT, along with its associated functions, will be defined:
///
#[starknet::contract]
mod erc20 {
    use starknet::ContractAddress;
    use openzeppelin::token::erc20::ERC20;

    #[storage]
    struct Storage {}

    #[constructor]
    fn constructor(
        ref self: ContractState,
        initial_supply: u256,
        recipient: ContractAddress
    ) {
        let name = 'MyToken';
        let symbol = 'MTK';

        let mut unsafe_state = ERC20::unsafe_new_contract_state();
        ERC20::InternalImpl::initializer(ref unsafe_state, name, symbol);
        ERC20::InternalImpl::_mint(ref unsafe_state, recipient, initial_supply);
    }

    #[external(v0)]
    #[generate_trait]
    impl Ierc20Impl of Ierc20 {
        fn balance_of(self: @ContractState, account: ContractAddress) -> u256 {
            let unsafe_state = ERC20::unsafe_new_contract_state();
            ERC20::ERC20Impl::balance_of(@unsafe_state, account)
        }

        fn transfer(ref self: ContractState, recipient: ContractAddress, amount: u256) -> bool {
            let mut unsafe_state = ERC20::unsafe_new_contract_state();
            ERC20::ERC20Impl::transfer(ref unsafe_state, recipient, amount)
        }
    }
}
///
Now edit src/lib.cairo and replace the content with:

mod erc20;

Upon completing your contract, proceed to compile it using Scarb:

scarb build

Subsequent to the compilation, declare the smart contract on the Starknet testnet:

starkli declare target/dev/erc20_erc20.sierra.json --account ../../demo-account.json --keystore ../../demo-key.json --compiler-version 2.1.0 --network goerli-1 ¨Cwatch

The output should appear similar to:

Enter keystore password:
Declaring Cairo 1 class: 0x04940154eae35788e899ceb0ef2794eaa5ea6818af5c1c726d6d278fd4979713
... [shortened for brevity]
Class hash declared: 0x04940154eae35788e899ceb0ef2794eaa5ea6818af5c1c726d6d278fd4979713

In cases where no modifications have been made to the provided contract, a notification will indicate that the contract has previously been declared on Starknet:

Enter keystore password:
Not declaring class as it's already declared. Class hash: 0x04940154eae35788e899ceb0ef2794eaa5ea6818af5c1c726d6d278fd4979713

3. Deploying the ERC20 Contract

Proceed to deploy the MKT Token using Starkli. Provide these arguments for successful deployment:

'Initial mint': Mint 1,000,000 tokens. Given that the MKT token comprises 18 decimals (a standard of OpenZeppelin), the input required is 1,000,000 * 10^18 or 0xd3c21bcecceda1000000. Due to the contract's expectation of a u256 mint value, provide both low and high values: 0xd3c21bcecceda1000000 and 0 respectively.
'Receiver address': Use a preferred address. In this example: 0x0334863e3e851de87fb4b6b6113aa2a6b40ea20f22dbec55536e4eac912206fc

starkli deploy 0x04940154eae35788e899ceb0ef2794eaa5ea6818af5c1c726d6d278fd4979713 --account ../../demo-account.json --keystore ../../demo-key.json --network goerli-1 --watch 0xd3c21bcecceda1000000 0 0x0334863e3e851de87fb4b6b6113aa2a6b40ea20f22dbec55536e4eac912206fc

The output should appear similar to:

Enter keystore password:
... [shortened for brevity]
Contract deployed: 0x001892d81e09cb2c2005f0112891dacb92a6f8ce571edd03ed1f3e549abcf37f

NOTE: The deployed address received will differ for every user. Retain this address, as it will replace instances in subsequent TypeScript files to match the specific contract address.

Well done! The Cairo ERC20 smart contract has been deployed successfully on Starknet.

4. Installing the Starknet React Library

With the contract in place, initiate the development of the web application. Begin by incorporating the Starknet React library and setting up a new React Project called 'erc20':
///
$ npm init starknet
Need to install the following packages:
  create-starknet@2.0.1
Ok to proceed? (y) y
? What is your project named? ¡­ erc20_web
? What framework would you like to use? ? Next.js
Installing dependencies...
Success! Created erc20_web at ~/erc20_web

We suggest that you begin by typing:

    cd erc20
    npm run dev
///
Post-installation, confirm the version of the Starknet React library:

npm list @starknet-react/core

The output should display the installed version, such as '@starknet-react/core@2.1.1'.

Once set up, make modifications to 'erc20_web/page.tsx' by replacing its content with the following code:
///
'use client';
import Head from 'next/head'
import { useBlock } from '@starknet-react/core'
import WalletBar from '@/components/WalletBar';
import { BlockTag } from 'starknet';

export default function Home() {
  const { data, isLoading, isError } = useBlock({
    refetchInterval: 3000,
    blockIdentifier: BlockTag.latest,
  })
  return (
    <>
      <Head>
        <title>Create Starknet</title>
        <meta name='description' content='Generated by create-starknet' />
        <meta name='viewport' content='width=device-width, initial-scale=1' />
        <link rel='icon' href='/favicon.ico' />
      </Head>
      <main>
        <p>
          A basic web3 example with Starknet&nbsp;
        </p>
        <div>
          {isLoading
            ? 'Loading...'
            : isError
            ? 'Error while fetching the latest block hash'
            : `Latest block hash: ${data?.block_hash}`}
        </div>
        <WalletBar />
      </main>
    </>
  )
}
///

To launch the web3 application:

cd erc20_web/
npm run dev

NOTE: Observe the server port that appears during launch. This will be useful for subsequent testing.

5. Enhancing Your React Application with Additional Features

To enhance the app's functionality, create two components for balance and transfer. Subsequently, update the Wallet.tsx file to incorporate the new features:

1.Balance Component
Design a balance component inside components/Balance.tsx and integrate the following code:
///
import { useAccount, useContractRead } from '@starknet-react/core';
import erc20ABI from '../../assets/erc20.json';
import { MouseEventHandler } from 'react';

function Balance() {
  const { address } = useAccount();
  const { data, isLoading, error, refetch } = useContractRead({
    address: '0x001892d81e09cb2c2005f0112891dacb92a6f8ce571edd03ed1f3e549abcf37f',
    abi: erc20ABI,
    functionName: 'balance_of',
    args: [address || ''], // Provide a default value if address is undefined
    watch: false
  });

  if (isLoading) return <span>Loading...</span>;
  if (error) return <span>Error: {JSON.stringify(error)}</span>;

  const handleClick: MouseEventHandler<HTMLButtonElement> = async (event) => {
    event.preventDefault();
    await refetch();
  };

  return (
    <div>
      <p>Balance:</p>
      <p>{data?data.toString(): 0}</p>
      <p><button onClick={handleClick}>Refresh Balance</button></p>
      <hr/>
    </div>
  );
}

export default Balance;
///
NOTE: Replace the address with the address of your deployed contract.

2.Transfer Component

Craft a transfer component in 'components/Transfer.tsx' and embed the subsequent code:
///
import { useAccount, useContractWrite } from '@starknet-react/core';
import React, { useState, useMemo } from 'react';

function Transfer() {
    const { address } = useAccount();
    const [count] = useState(1);
    const [recipient, setRecipient] = useState('0x');
    const [amount, setAmount] = useState('1000000000000000000');

    const calls = useMemo(() => {
      const tx = {
        contractAddress: '0x001892d81e09cb2c2005f0112891dacb92a6f8ce571edd03ed1f3e549abcf37f',
        entrypoint: 'transfer',
        calldata: [recipient, amount, 0]
      };
      return Array(count).fill(tx);
    }, [address, count, recipient, amount]);

    const { write } = useContractWrite({ calls });

    return (
      <>
        <p>Transfer:</p>
        <p>
          Recipient:
          <input type='text' value={recipient} onChange={(e) => setRecipient(e.target.value)} />
        </p>
        <p>
          Amount (default: 1 MKT with 18 decimals):
          <input type='number' value={amount} onChange={(e) => setAmount(e.target.value)} />
        </p>
        <p><button onClick={() => write()}>Execute Transfer</button></p>
        <hr/>
      </>
    );
}

export default Transfer;
///
NOTE: Replace contractAddress with the address of your deployed contract.

3.Updating the Wallet Component
Proceed to modify the 'components/Wallet.tsx' file. Replace any existing content with the following enhanced code:
///
'use client';
import { useAccount, useConnect, useDisconnect } from '@starknet-react/core';
import { useMemo } from 'react';
import { Button } from './ui/Button';
import Balance from './Balance'
import Transfer from './Transfer'

function WalletConnected() {
  const { address } = useAccount();
  const { disconnect } = useDisconnect();

  const shortenedAddress = useMemo(() => {
    if (!address) return '';
    return `${address.slice(0, 6)}...${address.slice(-4)}`;
  }, [address]);

  return (
    <div>
      <span>Connected: {shortenedAddress}</span>
      <p><button onClick={() => disconnect()}>Disconnect</button></p>
      <hr/>
      <Balance />
      <Transfer />
    </div>
  );
}

function ConnectWallet() {
  const { connectors, connect } = useConnect();

  return (
    <div>
      <span>Choose a wallet: </span>
      <p>
      {connectors.map((connector) => {
        return (
          <Button
            key={connector.id}
            onClick={() => connect({ connector })}
          >
            {connector.id}
          </Button>
        );
      })}
      </p>
    </div>
  );
}

export default function WalletBar() {
  const { address } = useAccount();

  return address ? <WalletConnected /> : <ConnectWallet />;
}
///
This updated code refines the Wallet component to offer a more interactive experience for users intending to connect or manage their wallets.

6.Finalizing the MKT Token Application
To finalize the application setup, we need the ABI file for the MKT token. Follow the steps below to generate and integrate it:

1.At the root of your project, create a new directory named 'assets/'.
2.Inside the 'assets/' directory, create an empty JSON file named 'erc20.json'.
3.Go back to your ERC20 Cairo project folder and locate the 'erc20/target/erc20_erc20_sierra.json' file.

4.Extract the ABI definition (ensuring you include the square brackets) and integrate it into the previously created 'assets/erc20.json' file.

Well done! The basic MKT token application is now operational locally. Access it via 'http://localhost:3000' or the port noted from earlier server setup. The app allows users to connect their wallets, review their balances, and perform token transfers.

7.Deploying Your Project Online

To share your application with friends and allow them to check their balances and transfer tokens, publish your app online. Vercel offers a straightforward way to do set up vercel:

1.Register for an account at Vercel Signup.
2.Install Vercel in your web application folder (erc20_web):

cd erc20_web/
npm i -g vercel
vercel init

3.Authenticate your Vercel account:
vercel login

After entering your email, check your inbox and click on the 'Verify' button.

On successful verification, you'll receive a confirmation in the console.

4.Link your project to Vercel:

vercel link

5.Upload it:

vercel

6.Publish your project:

vercel ¨Cprod

Congratulations! Your MKT token web3 application is now accessible to everyone.
"
