question,answer
What is included in CairoOptionVariant of Enumeration?,"The CairoOptionVariant of Enumeration includes the following content.
Enumeration Members
1.Some
Some = 0

Defined in
src/utils/calldata/enum/CairoOption.ts:2

2.None
None = 1

Defined in
src/utils/calldata/enum/CairoOption.ts:3"
What is included in CairoResultVariant of Enumeration?,"The CairoResultVariant of Enumeration includes the following content.
Enumeration Members
1.Ok
Ok = 0

Defined in
src/utils/calldata/enum/CairoResult.ts:2

2.Err
Err = 1

Defined in
src/utils/calldata/enum/CairoResult.ts:3"
What is included in BaseUrl of Enumeration?,"The BaseUrl of Enumeration includes the following content.
Enumeration Members
1.SN_MAIN
SN_MAIN = ""https://alpha-mainnet.starknet.io""

Defined in
src/constants.ts:21

2.SN_GOERLI
SN_GOERLI = ""https://alpha4.starknet.io""

Defined in
src/constants.ts:22"
What is included in NetworkName of Enumeration?,"The NetworkName of Enumeration includes the following content.
Enumeration Members
1.SN_MAIN
SN_MAIN = ""SN_MAIN""

Defined in
src/constants.ts:26

2.SN_GOERLI
SN_GOERLI = ""SN_GOERLI""

Defined in
src/constants.ts:27"
What is included in StarknetChainId of Enumeration?,"The StarknetChainId of Enumeration includes the following content.
Enumeration Members
1.SN_MAIN
SN_MAIN = ""0x534e5f4d41494e""

Defined in
src/constants.ts:31

2.SN_GOERLI
SN_GOERLI = ""0x534e5f474f45524c49""

Defined in
src/constants.ts:32"
What is included in TransactionHashPrefix of Enumeration?,"The TransactionHashPrefix of Enumeration includes the following content.
Enumeration Members
1.DECLARE
DECLARE = ""0x6465636c617265""

Defined in
src/constants.ts:36

2.DEPLOY
DEPLOY = ""0x6465706c6f79""

Defined in
src/constants.ts:37

3.DEPLOY_ACCOUNT
DEPLOY_ACCOUNT = ""0x6465706c6f795f6163636f756e74""

Defined in
src/constants.ts:38

4.INVOKE
INVOKE = ""0x696e766f6b65""

Defined in
src/constants.ts:39

5.L1_HANDLER
L1_HANDLER = ""0x6c315f68616e646c6572""

Defined in
src/constants.ts:40"
What is included in StarknetIdContract of Enumeration?,"The StarknetIdContract of Enumeration includes the following content.
Enumeration Members
1.MAINNET
MAINNET = ""0x6ac597f8116f886fa1c97a23fa4e08299975ecaf6b598873ca6792b9bbfb678""

Defined in
src/utils/starknetId.ts:104

2.TESTNET
TESTNET = ""0x3bab268e932d2cecd1946f100ae67ce3dff9fd234119ea2f6da57d16d29fce""

Defined in
src/utils/starknetId.ts:105"
What is included in BlockStatus of Enumeration?,"The BlockStatus of Enumeration includes the following content.
Enumeration Members
1.PENDING
PENDING = ""PENDING""

Defined in
src/types/lib/index.ts:165

2.ACCEPTED_ON_L1
ACCEPTED_ON_L1 = ""ACCEPTED_ON_L1""

Defined in
src/types/lib/index.ts:166

3.ACCEPTED_ON_L2
ACCEPTED_ON_L2 = ""ACCEPTED_ON_L2""

Defined in
src/types/lib/index.ts:167

4.REJECTED
REJECTED = ""REJECTED""

Defined in
src/types/lib/index.ts:168"
What is included in BlockTag of Enumeration?,"The BlockTag of Enumeration includes the following content.
Enumeration Members
1.pending
pending = ""pending""

Defined in
src/types/lib/index.ts:172

2.latest
latest = ""latest""

Defined in
src/types/lib/index.ts:173"
What is included in EntryPointType of Enumeration?,"The EntryPointType of Enumeration includes the following content.
Enumeration Members
1.EXTERNAL
EXTERNAL = ""EXTERNAL""

Defined in
src/types/lib/contract/index.ts:23

2.L1_HANDLER
L1_HANDLER = ""L1_HANDLER""

Defined in
src/types/lib/contract/index.ts:24

3.CONSTRUCTOR
CONSTRUCTOR = ""CONSTRUCTOR""

Defined in
src/types/lib/contract/index.ts:25"
What is included in Litteral of Enumeration?,"The Litteral of Enumeration includes the following content.
Enumeration Members
1.ClassHash
ClassHash = ""core::starknet::class_hash::ClassHash""

Defined in
src/types/calldata.ts:17

2.ContractAddress
ContractAddress = ""core::starknet::contract_address::ContractAddress""

Defined in
src/types/calldata.ts:18"
