question,answer
What is ProjConstructor of Interface?,"The following is an introduction to the ProjConstructor of Interface.
1.Type parameters
Name
T
2.Hierarchy
GroupConstructor<ProjPointType<T>>

ProjConstructor

3.Constructors
constructor
new ProjConstructor(x, y, z)

Parameters
Name Type
x T
y T
z T
Inherited from
GroupConstructor<ProjPointType<T>>.constructor

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:76

4.Properties
BASE
BASE: ProjPointType<T>

Inherited from
GroupConstructor.BASE

Defined in
node_modules/@noble/curves/abstract/curve.d.ts:19

ZERO
ZERO: ProjPointType<T>

Inherited from
GroupConstructor.ZERO

Defined in
node_modules/@noble/curves/abstract/curve.d.ts:20

5.Methods
fromAffine
fromAffine(p): ProjPointType<T>

Parameters
Name Type
p AffinePoint<T>
Returns
ProjPointType<T>

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:77

fromHex
fromHex(hex): ProjPointType<T>

Parameters
Name Type
hex Hex
Returns
ProjPointType<T>

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:78

fromPrivateKey
fromPrivateKey(privateKey): ProjPointType<T>

Parameters
Name Type
privateKey PrivKey
Returns
ProjPointType<T>

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:79

normalizeZ
normalizeZ(points): ProjPointType<T>[]

Parameters
Name Type
points ProjPointType<T>[]
Returns
ProjPointType<T>[]

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:80"
What is ProjPointType of Interface?,"The following is an introduction to the ProjPointType of Interface.
1.Design rationale for types
Interaction between classes from different curves should fail: k256.Point.BASE.add(p256.Point.BASE)
For this purpose we want to use instanceof operator, which is fast and works during runtime
Different calls of curve() would return different classes - curve(params) !== curve(params): if somebody decided to monkey-patch their curve, it won't affect others
TypeScript can't infer types for classes created inside a function. Classes is one instance of nominative types in TypeScript and interfaces only check for shape, so it's hard to create unique type for every function call.

We can use generic types via some param, like curve opts, but that would: 1. Enable interaction between curve(params) and curve(params) (curves of same params) which is hard to debug. 2. Params can be generic and we can't enforce them to be constant value: if somebody creates curve from non-constant params, it would be allowed to interact with other curves with non-constant params

2.Type parameters
Name
T
3.Hierarchy
Group<ProjPointType<T>>

ProjPointType

4.Properties
px
Readonly px: T

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:58

py
Readonly py: T

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:59

pz
Readonly pz: T

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:60

5.Accessors
x
get x(): T

Returns
T

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:61

y
get y(): T

Returns
T

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:62

5.Methods
multiply
multiply(scalar): ProjPointType<T>

Parameters
Name Type
scalar bigint
Returns
ProjPointType<T>

Overrides
Group.multiply

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:63

toAffine
toAffine(iz?): AffinePoint<T>

Parameters
Name Type
iz? T
Returns
AffinePoint<T>

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:64

isTorsionFree
isTorsionFree(): boolean

Returns
boolean

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:65

clearCofactor
clearCofactor(): ProjPointType<T>

Returns
ProjPointType<T>

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:66

assertValidity
assertValidity(): void

Returns
void

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:67

hasEvenY
hasEvenY(): boolean

Returns
boolean

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:68

toRawBytes
toRawBytes(isCompressed?): Uint8Array

Parameters
Name Type
isCompressed? boolean
Returns
Uint8Array

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:69

toHex
toHex(isCompressed?): string

Parameters
Name Type
isCompressed? boolean
Returns
string

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:70

multiplyUnsafe
multiplyUnsafe(scalar): ProjPointType<T>

Parameters
Name Type
scalar bigint
Returns
ProjPointType<T>

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:71

multiplyAndAddUnsafe
multiplyAndAddUnsafe(Q, a, b): undefined | ProjPointType<T>

Parameters
Name Type
Q ProjPointType<T>
a bigint
b bigint
Returns
undefined | ProjPointType<T>

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:72

_setWindowSize
_setWindowSize(windowSize): void

Parameters
Name Type
windowSize number
Returns
void

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:73

double
double(): ProjPointType<T>

Returns
ProjPointType<T>

Inherited from
Group.double

Defined in
node_modules/@noble/curves/abstract/curve.d.ts:11

negate
negate(): ProjPointType<T>

Returns
ProjPointType<T>

Inherited from
Group.negate

Defined in
node_modules/@noble/curves/abstract/curve.d.ts:12

add
add(other): ProjPointType<T>

Parameters
Name Type
other ProjPointType<T>
Returns
ProjPointType<T>

Inherited from
Group.add

Defined in
node_modules/@noble/curves/abstract/curve.d.ts:13

subtract
subtract(other): ProjPointType<T>

Parameters
Name Type
other ProjPointType<T>
Returns
ProjPointType<T>

Inherited from
Group.subtract

Defined in
node_modules/@noble/curves/abstract/curve.d.ts:14

equals
equals(other): boolean

Parameters
Name Type
other ProjPointType<T>
Returns
boolean

Inherited from
Group.equals

Defined in
node_modules/@noble/curves/abstract/curve.d.ts:15"
What is SignatureType of Interface?,"The following is an introduction to the SignatureType of Interface.
1.Properties
r
Readonly r: bigint

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:141

s
Readonly s: bigint

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:142

recovery
Optional Readonly recovery: number

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:143

2.Methods
assertValidity
assertValidity(): void

Returns
void

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:144

addRecoveryBit
addRecoveryBit(recovery): RecoveredSignatureType

Parameters
Name Type
recovery number
Returns
RecoveredSignatureType

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:145

hasHighS
hasHighS(): boolean

Returns
boolean

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:146

normalizeS
normalizeS(): SignatureType

Returns
SignatureType

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:147

recoverPublicKey
recoverPublicKey(msgHash): ProjPointType<bigint>

Parameters
Name Type
msgHash Hex
Returns
ProjPointType<bigint>

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:148

toCompactRawBytes
toCompactRawBytes(): Uint8Array

Returns
Uint8Array

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:149

toCompactHex
toCompactHex(): string

Returns
string

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:150

toDERRawBytes
toDERRawBytes(isCompressed?): Uint8Array

Parameters
Name Type
isCompressed? boolean
Returns
Uint8Array

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:151

toDERHex
toDERHex(isCompressed?): string

Parameters
Name Type
isCompressed? boolean
Returns
string

Defined in
node_modules/@noble/curves/abstract/weierstrass.d.ts:152"
What is CallStruct of Interface?,"The following is an introduction to the CallStruct of Interface.
Properties
1.to
to: string

2.selector
selector: string

3.calldata
calldata: string[]"
What is CommonTransactionResponse of Interface?,"The following is an introduction to the CommonTransactionResponse of Interface.
1.Hierarchy
CommonTransactionResponse

InvokeTransactionResponse

DeclareTransactionResponse

2.Properties
transaction_hash
Optional transaction_hash: string

version
Optional version: string

signature
Optional signature: Signature

max_fee
Optional max_fee: string

nonce
Optional nonce: string"
What is ContractEntryPoint of Interface?,"The following is an introduction to the ContractEntryPoint of Interface.
Properties
1.offset
offset: string

2.selector
selector: string"
What is DeclareContractResponse of Interface?,"The following is an introduction to the DeclareContractResponse of Interface.
Properties
1.transaction_hash
transaction_hash: string

2.class_hash
class_hash: string"
What is DeclareSignerDetails of Interface?,"The following is an introduction to the DeclareSignerDetails of Interface.
Properties
1.classHash
classHash: string

2.senderAddress
senderAddress: string

3.chainId
chainId: StarknetChainId

4.maxFee
maxFee: BigNumberish

5.version
version: BigNumberish

6.nonce
nonce: BigNumberish

7.compiledClassHash
Optional compiledClassHash: string"
What is DeclareTransactionResponse of Interface?,"The following is an introduction to the DeclareTransactionResponse of Interface.
1.Hierarchy
CommonTransactionResponse

DeclareTransactionResponse

2.Properties
contract_class
Optional contract_class: any

sender_address
Optional sender_address: string

transaction_hash
Optional transaction_hash: string

Inherited from
CommonTransactionResponse.transaction_hash

version
Optional version: string

Inherited from
CommonTransactionResponse.version

signature
Optional signature: Signature

Inherited from
CommonTransactionResponse.signature

max_fee
Optional max_fee: string

Inherited from
CommonTransactionResponse.max_fee

nonce
Optional nonce: string

Inherited from
CommonTransactionResponse.nonce"
What is DeployContractResponse of Interface?,"The following is an introduction to the DeployContractResponse of Interface.
Properties
1.contract_address
contract_address: string

2.transaction_hash
ransaction_hash: string"
