question,answer
"What is an array in Cairo?","An array is a collection of elements of the same type."
"Can I append elements of diffenrent types to an array?","No, all elements of an array must be of the same type"
"Can I store a u32 and a felt in an array?","No, elements must be of the same type in an array"
"What must I do to utilize array methods?","You use array methods by importing the array::ArrayTrait"
"What is a key feature of an array in relation to changing its values?","The values of arrays can't be modified."
"If a memory slot is written to, what can and can't you do with it?","Once a memory slot is written to, it cannot be overwritten, but only read from it."
"How can you add new items to an array?","You can only append items to the end of an array, using the append() method"
"how can you remove items from an array?","The method 'pop_front()' removes items from the front of an array."
"can you remove items at any index of an array?","Now, only from the front.The method 'pop_front()' removes items from the front of an array."
"How do you create an array?","An array is created with ArrayTrait::new() call."
"How do you indicate the type of items in an array?","You can pass the expected type of items inside the array when instantiating or explicitly define the type the variable.
```
    let mut arr:Array<u128> = ArrayTrait::new();
```
"
"how can you include an element to an array?","To add an element to the end of an array, you can use the append() method."
"how can you add an element to an array?","To add an element to the end of an array, you can use the append() method."
"How do you remove elements from an array's front?","You can use the pop_front() method. Only front elements can be removed."
"If an array is empty and you use the 'pop_front()' method, what would it return?","It returns Option::None and the array remains in its state."
"Given the code 'a.append(10); a.append(1); a.append(2); let first_value = a.pop_front().unwrap(); first_value.print();', what would be the printed output?","It will print '10'."
"Why does the output display10 when the code snippet includes 'a.append(10);' followed by 'a.pop_front().unwrap().print();'?","Because 10 was the first element added to the array, and it gets removed using pop_front()."
"What does it mean for memory to be immutable?","In Cairo, memory cannot be changed once set, unless the 'mut' keyword is specified."
"can you change the existing elements of an array in Cairo?","No, it's not possible to modify the elements of an array once they've been added in Cairo."
"How would you define a variable's type (u128) when creating an array ?","You can use syntax like
```
    let mut arr:Array<u128> = ArrayTrait::new();
```
"
"How can one access elements from an array in Cairo?","To access array elements, you can use get() or at() array methods.
```
    let second_elem = my_array.at(1); // Watch, index starts at 0, so second element corresponds to index 1
```
"
"What is the default response of the get function if an array element doesn't exist?","If the element doesn't exist, get returns None."
"In situations where indices may not be within an array's bounds, why would someone opt for the get method?","This method is useful when you expect to access indices that may not be within the array's bounds and want to handle such cases gracefully without panics."
"When referring to the 'at' function, what action does the 'unbox()' operator perform?","The unbox() operator is used in the at function to extract the value stored in a box."
"Consider the function: 'fn main() { let mut a = ArrayTrait::new(); a.append(0); a.append(1); let first = *a.at(0); let second = *a.at(1); }'. What will the variable 'first' contain?","In the provided code example, the variable named first will get the value 0."
"Based on the same function, what value is assigned to the variable 'second'?","The variable named second will get the value 1."
