question,answer
"What is a constructor in the context of a contract?","A constructor is a special type of function that only runs once when deploying a contract and is used to initialize the contract's state."
"Which attribute denotes a constructor function in a contract?","The attribute that denotes a constructor function is #[constructor]."
"How many constructors can a contract have?","A contract can't have more than one constructor."
"What is the mandatory name for a constructor function in a contract?","The constructor function must be named 'constructor'."
"How do you initialize the state of a contract in the constructor?","By referencing 'ref self: ContractState' as the first parameter and then writing to its fields, such as 'self.names.write(owner.address, owner.name);'."
"What is the difference between public functions and private functions in contracts?","Public functions are accessible from outside of the contract, whereas private functions can only be called from within the contract."
"How do you indicate that a function is public in a contract?","By defining the function inside an implementation block annotated with the #[external(v0)] attribute."
"Do public functions always have the ability to modify the contract's state?","No, the ability of these functions to modify the state of the contract isn't solely informed by their public visibility. It depends on how the 'self: ContractState' parameter is passed."
"How can a public function modify the state of a contract?","By passing the 'self: ContractState' as a reference with the 'ref' keyword."
"What's the difference between an external function and a view function regarding the contract's state?","External functions can modify the contract's state while view functions are read-only and ensure that the state is not modified."
"How is the state of a contract passed to a view function?","It's passed as a snapshot using 'self: @ContractState'."
"Are both external and view functions public?","Yes, both external and view functions are public."
"How do you define an internal function in a contract?","To create an internal function in a contract, define it outside of the implementation block annotated with the #[external(v0)] attribute or inside blocks without the #[external(v0)] attribute."
"What does the #[generate_trait] attribute indicate in the context of a contract?","The #[generate_trait] attribute tells the compiler to generate a trait definition for the implementation block."
"What is the purpose of the 'get_caller_address()' function?","The function retrieves the address of the caller who invokes the contract's function."
"How do view functions ensure that the contract's state is not modified?","By passing the 'self: ContractState' parameter as a snapshot using '@'."
"Can private (internal) functions be called from outside of the contract?","No, private functions can only be called from within the contract."
"How are private functions typically annotated?","They are not defined in a block annotated with the #[external(v0)] attribute."
"What is a common use of constructors in the context of contracts?","Constructors are used to initialize the state of a contract."
"In the code 'impl NameRegistry of super::INameRegistry<ContractState>', what is being implemented?","The 'NameRegistry' is being implemented for 'super::INameRegistry<ContractState>'."
"Can you modify the state of a contract in view functions?","No, view functions are read-only and ensure that the contract's state is not modified."
"Which function is used to store a name in the contract's state based on the given code?","The function 'store_name' is used to store a name in the contract's state."
"Which function returns a name from the contract's state based on the code?","The function 'get_name' returns a name from the contract's state."
"What is a trait?","A trait is a common interface that types can implement, and in this context, it relates to the functions inside the contract."
"Can a contract have multiple constructors?","No, a contract can't have more than one constructor."
"Why might you use the #[generate_trait] attribute?","To automatically generate a trait definition for the associated implementation block, reducing boilerplate code."
"In which scenario is the 'ref' keyword used with 'self: ContractState'?","When the function needs to modify the state of the contract, the 'ref' keyword is used."
"Why might a contract need to use private or internal functions?","Private or internal functions allow encapsulation of logic and can only be called within the contract, ensuring controlled access to certain functionalities."
"How do you denote that a function is external and can modify the contract's state?","By passing 'self: ContractState' as a reference with the 'ref' keyword in the function parameters."
"In which function type, external or view, is the contract's state passed as a snapshot?","In view functions, the contract's state is passed as a snapshot."
"What attribute indicates that a function is public and can be accessed from outside of the contract?","The #[external(v0)] attribute gives a clue."
"How is the number of names stored in the contract incremented in the provided code?","By reading the current total using 'self.total_names.read()', then writing back the incremented value with 'self.total_names.write(total_names + 1)'."
"how do you distinguish between functions that can and cannot modify the contract's state?","By how the 'self: ContractState' parameter is passed. If it's passed by reference using 'ref', it can modify the state. If passed as a snapshot using '@', it cannot."
"What is an external function's relation to the contract's state?","External functions can modify the state of a contract when 'self: ContractState' is passed by reference."
"Which attribute is essential for functions that need to modify the contract's state?","The 'ref' keyword when passing 'self: ContractState'."
"how are functions that don't modify the contract's state but provide data denoted?","These are denoted as view functions, and 'self: ContractState' is passed as a snapshot using '@'."
"How do you make a function private or internal in a contract?","By defining it outside of a block annotated with the #[external(v0)] attribute or inside blocks without this attribute."
"How can you ensure that a function does not modify the contract's state?","By making it a view function and passing 'self: ContractState' as a snapshot using '@'."
"How do you annotate a function to indicate that it is a constructor for a contract?","By using the #[constructor] attribute."
"how do you define a function that is public and can be accessed externally?","By defining it inside an 'impl' block annotated with the #[external(v0)] attribute."
"What distinguishes view functions from external functions in terms of their interaction with the contract's state?","View functions access the contract's state in a read-only manner, ensuring it's not modified, while external functions can modify it."
"How is a constructor function differentiated from other functions in a contract?","A constructor function must be named 'constructor', can only be run once during contract deployment, and must be annotated with the #[constructor] attribute."
"what is the significance of the 'ref' keyword?","The 'ref' keyword is used to pass 'self: ContractState' by reference, allowing modification of the contract's state."
"what does the 'generate_trait' attribute do?","The 'generate_trait' attribute instructs the compiler to generate a trait definition for the associated implementation block."
"How are public functions that can modify the contract's state defined?","They are defined in an 'impl' block with the #[external(v0)] attribute, and 'self: ContractState' is passed by reference using the 'ref' keyword."
"how can you ensure that a public function doesn't modify the contract's state?","By making it a view function and passing 'self: ContractState' as a snapshot using '@'."
"How would you define a constructor in a contract that initializes the state with an owner?","To define a constructor, use the #[constructor] attribute and name the function 'constructor'. For initialization, you'd reference 'ref self: ContractState' as the first parameter and then write to its fields, such as 'self.names.write(owner.address, owner.name);'."
