question,answer
"What do components provide for smart contracts?","They are modular add-ons encapsulating reusable logic, storage, and events that can be incorporated into multiple contracts."
"How can components be visualized for easier understanding?","Think of components as Lego blocks."
"How does a component differ from a contract in terms of deployment?","Unlike a contract, a component cannot be deployed on its own."
"What are the three main things a component can contain?","Storage variables, Events, and External and internal functions."
"How do you define a component?","To create a component, first define it in its own module decorated with a #[starknet::component] attribute."
"How does the component's logic become part of a contract?","Its logic will eventually be part of the contract’s bytecode it has been embedded in."
"How do you define the interface of a component?","You can define the interface of the component by declaring a trait with the #[starknet::interface] attribute."
"What does the #[embeddable_as(name)] attribute indicate?","It marks an implementation block as embeddable inside a contract and specifies the name to refer to this component in the contract."
"Can you define internal functions in a component that are not accessible externally?","Yes, by simply omitting the #[embeddable_as(name)] attribute above the internal impl block."
"How are functions within the impl block of a component structured?","They expect arguments like ref self: ComponentState<TContractState> or self: @ComponentState<TContractState>."
"Which attribute marks an impl block as embeddable inside a contract?","#[embeddable_as(Ownable)]"
"What major difference is highlighted between a regular smart contract and a component in terms of accessing storage and events?","In components, access to storage and events is done via the generic ComponentState<TContractState> type and not ContractState."
"How easy is it to migrate from a contract to a component?","It's very easy, requiring only a few changes like adding attributes and changing types of the self argument in functions."
"What are the steps to use components inside a contract?","Declare it with the component!() macro, add the path to the component's storage and events to the contract's Storage and Event, and embed the component's logic using an impl alias."
"Why might the 'Trait not found. Not a trait.' error occur when implementing components?","This can occur when you're not importing the component's impl block correctly in your contract."
"How can developers benefit from stacking multiple components together?","Developers can focus on their core contract logic while relying on battle-tested and audited components for other functionalities."
"How can you troubleshoot if component functions are not accessible externally?","This can happen if you forgot to annotate the component's impl block with #[abi."
"How does the concept of Components help in the development of contracts?","Components allow developers to reuse logic, storage, and events, eliminating the need to reimplement the same logic in multiple contracts."
"How does separating core logic from additional functionalities benefit smart contract development?","It allows for modular development, making it easier to add or modify functionalities without affecting the core logic of the contract."
"What does the #[starknet::component] attribute signify?","It's used to define a component in its own module."
"What purpose does the #[starknet::interface] attribute serve?","It's used to define the interface of the component by declaring a trait."
"Why is it important to annotate the component's impl block with #[embeddable_as(name)]?","It designates that the impl block is embeddable inside a contract and provides a reference name for the component."
"What is the function of the #[generate_trait] attribute?","It's used for traits that don't have an explicit definition."
"How do components enhance the composability of contracts?","By providing modular add-ons, they enable contracts to easily incorporate different functionalities without rewriting logic."
"How does the ComponentState<TContractState> type differ from the ContractState?","In components, access to storage and events is done via the generic ComponentState<TContractState> type, unlike regular contracts where it's done via ContractState."
"In the context of smart contracts, how are components beneficial for developers?","Components simplify the development process, reduce redundancy by allowing reuse of logic, and enable a modular approach to building contracts."
"Why might one want to migrate from contracts to components?","Migrating to components allows for a more modular approach, making it easier to incorporate different functionalities without rewriting entire contracts."
"What's a potential downside of not marking a component's impl block with the #[abi] attribute?","The component functions won't be accessible externally."
"How do you access a component's storage and events within its logic?","Through the ComponentState<TContractState> type."
"How can developers avoid writing repetitive code in smart contracts?","By using components, which encapsulate reusable logic, storage, and events."
"Why can't components be deployed on their own like regular contracts?","They are designed to be modular add-ons and rely on being embedded in contracts to function."
"In the context of smart contracts, what is meant by 'modular development'?","It refers to a development approach where functionalities are built as separate, interchangeable modules (or components) that can be combined in various ways."
"How do components promote safer contract development?","By allowing developers to use battle-tested and audited components, the risk of introducing vulnerabilities due to repetitive code is reduced."
"What kind of functions can components have?","Components can have both external and internal functions."
"What does the component!() macro do?","It's used to declare a component inside a contract."
"How can you embed a component's logic inside a contract?","Using an impl alias after declaring the component with the component!() macro."
"What is the role of the Storage struct within a component?","It defines the storage variables of the component."
"How does one embed the logic of a component named 'Ownable' inside a contract?","By using the #[embeddable_as(Ownable)] attribute on the impl block."
"How can you troubleshoot if you receive an error stating 'Trait not found. Not a trait.'?","This can be due to an incorrect import of the component's impl block in the contract."
"How does the #[embeddable_as(name)] attribute help in referencing a component?","It provides a name to refer to the component when embedding its logic inside a contract."
