question,answer
"What is a common data structure that stores key-value pairs?","A dictionary is the best solution for this problem."
"What is the purpose of a dictionary-like data structure?","It represents a collection of key-value pairs where each key is unique and associated with a corresponding value."
"What does the Felt252Dict<T> data type represent?","A dictionary-like type in Cairo that represents a collection of key-value pairs."
"When might you use the Felt252Dict<T> type instead of an Array<T>?","When you want to organize your data in a certain way for which using an Array<T> and indexing doesn't suffice."
"How do Cairo dictionaries help having a workaround for memory restrictions?","They allow the programmer to simulate the existence of mutable memory when there is none."
"In Cairo, to what type is restricted for the key in the dictionary?","it is restricted tp felt252."
"What can you specify for the Felt252Dict<T> type in Cairo?","The value data type, represented by T."
"What does the trait Felt252DictTrait include?","It includes all basic operations for the core functionality of a Felt252Dict<T>."
"What is the purpose of the insert(felt252, T) function?","To write values to a dictionary instance.It only applies to dictionaries, not arrays"
"What is the purpose of the get(felt252) function?","To read values from a dictionary instance."
"How can you initialize a new instance of Felt252Dict<u64>?","By using the default method of the Default trait."
"How do you insert a new key-value pair into a Felt252Dict?","Using the insert method."
"How can you retrieve a value associated with a key in Felt252Dict?","Using the get method."
"What assertion is made after inserting 'Alex' with a balance of 100?","That the balance associated with 'Alex' is 100."
"What does it mean if Cairo's memory is immutable?","You can only write to a memory cell once."
"How does Felt252Dict<T> help overcome the obstacle of immutable memory in Cairo?","It represents a way to simulate mutable memory, allowing values associated with a key to be 'rewritten'."
"What happens if you insert a key into the Felt252Dict with a new value after it was previously inserted with a different value?","The new value effectively 'rewrites' the stored value for that key."
"How do you check the value associated with a specific key in the Felt252Dict?","By using the get method."
"How do you assert that a certain value is associated with a key in the Felt252Dict?","By using the assert method."
"Is Felt252Dict<T> limited to any specific type of keys?","Yes, the key type is restricted to felt252."
"What is a trait in programming?","A trait is a way to define shared behavior."
"How do you define both key and value data types in some languages when creating a dictionary?","In other languages, you define the data types of both key and value."
"How is the key type for Felt252Dict<T> defined in Cairo?","The key type is restricted to felt252."
"Can you rewrite values in a Felt252Dict<T> dictionary?","Yes, Felt252Dict<T> allows you to 'rewrite' the stored value for any given key."
"What is one way to initialize a dictionary in Cairo?","Using the default method of the Default trait."
"Does the Felt252DictTrait need to be imported to work with Felt252Dict<T>?","Yes, importing Felt252DictTrait brings to scope all the methods needed to interact with the dictionary."
"Is it possible to store the same key multiple times with different values in Felt252Dict<T>?","Yes, the latest value will effectively 'rewrite' the previous value for that key."
"Why might you use a dictionary-like data structure instead of an array?","When indexing in an array doesn't suffice and you need a structure to organize data based on unique keys."
"Do all programming languages refer to dictionary-like data structures as 'dictionaries'?","No, they might be referred to as maps, hash tables, associative arrays, and others."
"How does the Felt252Dict<T> type benefit programmers in Cairo?","It allows for organizing data based on unique keys and simulates the existence of mutable memory."
"Which trait provides the basic operations for Felt252Dict<T>?","The Felt252DictTrait."
"What is the primary use case of the get(felt252) -> T function?","To retrieve a value associated with a specific key from a dictionary."
"Can the Felt252Dict<T> type be compared to arrays in terms of its function?","No, it is more similar to dictionaries as it organizes data in key-value pairs, unlike arrays that use indexing."
"Does Cairo's core library include a dictionary-like type?","Yes, it includes the Felt252Dict<T> data type."
"What is the main advantage of using Felt252Dict<T> in Cairo when considering memory constraints?","It simulates the existence of mutable memory when there is none."
"What data types need to be defined when creating a new dictionary in other languages?","Both the key and value data types."
"What is the constraint on key data types in Cairo's dictionary?","The key type is restricted to felt252."
"What is the key difference between arrays and dictionaries in terms of data organization?","Arrays use indexing while dictionaries use unique keys."
"Can a key in Felt252Dict<T> have multiple values associated with it at the same time?","No, each key has a unique value associated with it, but that value can be rewritten."
"Is Cairo's memory mutable by default?","No, Cairo's memory is immutable."
"How do you define the value data type for a dictionary in Cairo?","Using the generic T in Felt252Dict<T>."
"Why would you assert a value after inserting it into a dictionary?","To ensure that the value has been correctly inserted and associated with the specified key."
"What functionality does the Felt252DictTrait offer?","It provides all basic operations for working with Felt252Dict<T> dictionaries."
"Why might you choose to use a dictionary over an array in certain scenarios?","To organize data based on unique keys when indexing in an array doesn't suffice."
"Can you modify a value associated with a key in Felt252Dict<T>?","Yes, you can 'rewrite' the value for a given key."
"How are all keys initialized in a Felt252Dict<T> upon instantiation?","All keys have their associated values initialized as zero."
"What happens if you try to get the balance of an inexistent user in Felt252Dict<T>?","You will get 0 instead of an error or an undefined value."
"Can data be deleted from a Felt252Dict<T>?","No, there is no way to delete data from a dictionary."
"What kind of programming language is Cairo described as?","Cairo is described as a non-deterministic Turing-complete programming language."
"What design constraint does Cairo's memory system have?","Cairo's memory system is immutable."
"How does Cairo simulate mutability in its memory system?","Cairo simulates mutability by implementing Felt252Dict<T> as a list of entries."
"How many fields does an entry in Felt252Dict<T> have?","An entry has three fields."
"What does the 'key' field in an entry represent?","The 'key' field identifies the value for this key-value pair of the dictionary."
"What information does the 'previous_value' field in an entry convey?","The 'previous_value' field indicates which previous value was held at key."
"What does the 'new_value' field in an entry indicate?","The 'new_value' field indicates the new value that is held at key."
"How would you internally define Felt252Dict<T> using high-level structures?","It would be defined as Array<Entry<T>>."
"What happens when you interact with a Felt252Dict<T>?","A new Entry<T> will be registered."
"What kind of entry is registered during a 'get' interaction with Felt252Dict<T>?","A 'get' would register an entry where there is no change in state, and previous and new values are stored with the same value."
"In an 'insert' interaction, what would be the 'previous_value' if it's the first entry for a key?","The 'previous value' will be zero."
"How is the mutability simulated in Felt252Dict<T>?","Mutability is simulated through the creation of new memory cells per Felt252Dict<T> interaction, without any rewriting."
"What does each entry in Felt252Dict<T> represent?","Each entry represents a time when a dictionary was accessed for reading/updating/writing purposes."
