question,answer
"What is vital in blockchain programming to maintain user trust?","Understanding and mitigating smart contract vulnerabilities."
"Is Cairo just as susceptible to smart contract vulnerabilities as other languages?","Yes, it is as true for Cairo as any other language."
"What causes access control vulnerabilities in smart contracts?","When a smart contract's functions are insufficiently protected, allowing unauthorized actions."
"What can result from access control vulnerabilities?","Unexpected behavior and data manipulation."
"What is recommended to prevent access control vulnerabilities?","Integrating authorization mechanisms like role-based access control or ownership checks."
"Can existing templates be used for authorization mechanisms?","Yes, templates from sources like OpenZeppelin can be used."
"What does robust access control ensure in smart contracts?","That only authorized entities execute smart contract functions."
"What are reentrancy vulnerabilities?","When a smart contract calls an external contract before updating its state."
"What can reentrancy vulnerabilities lead to?","The external contract recursively calling the original function, causing unintended behavior."
"In which ERC standards are reentrancy protections critical?","ERC721, ERC777, ERC1155, ERC223."
"What is a recommended pattern to prevent reentrancy attacks?","The check-effects-interactions pattern."
"How does the check-effects-interactions pattern enhance smart contract security?","By updating the contract's internal state before interacting with external contracts."
"What are the global variables in Solidity for transaction initiator and caller?","tx.origin for initiator and msg.sender for caller."
"What are the Cairo equivalents for tx.origin and msg.sender?","account_contract_address for tx.origin and get_caller_address for msg.sender."
"Why is using account_contract_address for authentication risky?","It can lead to phishing attacks."
"What is the vulnerability in the Cairo smart contract example using account_contract_address?","It allows attackers to impersonate the contract owner."
"What is the recommended change for secure authentication in the transferTo function?","Replace account_contract_address authentication with get_caller_address."
"Why is understanding smart contract vulnerabilities important in blockchain programming?","To maintain trust among users."
"What problem arises from insufficient protection of smart contract functions?","Unauthorized actions can be performed."
"What is a typical consequence of access control vulnerabilities?","The manipulation of data and unexpected behaviors."
"What can be used to enhance security against access control vulnerabilities?","Authorization mechanisms such as RBAC or ownership checks."
"What is the main benefit of implementing strong access control?","It minimizes unauthorized interference in smart contracts."
"What triggers reentrancy vulnerabilities?","Calling an external contract before updating the state of the calling contract."
"What is a real-world consequence of reentrancy vulnerabilities?","Recursive calls leading to exploitation of functions."
